pillar,question,choice,ta_check,description
Security,SEC 2 How do you manage identities for people and machines?,"P1 Store and use secrets securely - i.e. store database, app secret etc in Secret Manager or equivalent.",Exposed Access Keys,"Description: Checks popular code repositories for access keys that have been exposed to the public and for irregular Amazon Elastic Compute Cloud (Amazon EC2) usage that could be the result of a compromised access key. An access key consists of an access key ID and the corresponding secret access key. Exposed access keys pose a security risk to your account and other users, could lead to excessive charges from unauthorized activity or abuse, and violate the AWS Customer Agreement. If your access key is exposed, take immediate action to secure your account. To protect your account from excessive charges, AWS temporarily limits your ability to create certain AWS resources when exposed access keys are identified. This does not make your account secure; it only partially limits the unauthorized usage for which you could be charged. Note: This check does not guarantee the identification of exposed access keys or compromised EC2 instances. You are ultimately responsible for the safety and security of your access keys and AWS resources.   				If a deadline is shown for an access key, AWS may suspend your AWS account if the unauthorized usage is not stopped by that date. If you believe an alert is in error, contact AWS Support.				The information displayed in Trusted Advisor may not reflect the most recent state of your account. No exposed access keys are marked as resolved until all exposed access keys on the account have been resolved. This data synchronization can take up to one week.				Alert Criteria		Red: Potentially compromised - AWS has identified an access key ID and corresponding secret access key that have been exposed on the Internet and may have been compromised (used).		Red: Exposed - AWS has identified an access key ID and corresponding secret access key that have been exposed on the Internet.		Red: Suspected - Irregular Amazon EC2 usage indicates that an access key may have been compromised, but it has not been identified as exposed on the Internet.				Recommended Action		Delete the affected access key as soon as possible. If the key is associated with an IAM user, see Managing Access Keys for IAM Users.				Check your account for unauthorized usage. Log in to the AWS Management Console and check each service console for suspicious resources. Pay special attention to running Amazon EC2 instances, Spot Instance requests, access keys, and IAM users. You can also check overall usage on the Billing & Cost Management Dashboard.				Additional Resources		Best Practices for Managing AWS Access Keys		AWS Security Audit Guidelines"
Security,SEC 2 How do you manage identities for people and machines?,P0 Audit and rotate credentials periodically - i.e. IAM Access Key Rotation,IAM Access Key Rotation,"Description: Checks for active IAM access keys that have not been rotated in the last 90 days.  When you rotate your access keys regularly, you reduce the chance that a compromised key could be used without your knowledge to access resources. For the purposes of this check, the last rotation date and time is when the access key was created or most recently activated. The access key number and date come from the access_key_1_last_rotated and access_key_2_last_rotated information in the most recent IAM credential report. Because the regeneration frequency of a credential report  is restricted, refreshing this check might not reflect recent changes (for details, see Getting Credential Reports for Your AWS Account).		In order to create and rotate access keys, a user must have the appropriate permissions. For more information, see Allow Users to Manage Their Own Passwords, Access Keys, and SSH Keys.				Alert Criteria		Green: The access key is active and has been rotated in the last 90 days.		Yellow: The access key is active and has been rotated in the last 2 years, but more than 90 days ago.		Red: The access key is active and has not been rotated in the last 2 years.				Recommended Action		Rotate access keys on a regular basis. See Rotating Access Keys and Managing Access Keys for IAM Users.				Additional Resources		IAM Best Practices		How to rotate access keys for IAM users (AWS blog)"
Security,SEC 2 How do you manage identities for people and machines?,P0 Audit and rotate credentials periodically - i.e. IAM Access Key Rotation,ACM certificates should be renewed after a specified time period,Description: Checks if ACM Certificates in your account are marked for expiration within a specified time period. Certificates provided by ACM are automatically renewed. ACM does not automatically renew certificates that you import.				Source		AWS Security Hub		Security Hub control ID: ACM.1				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 2 How do you manage identities for people and machines?,P0 Audit and rotate credentials periodically - i.e. IAM Access Key Rotation,API Gateway REST and WebSocket API execution logging should be enabled,Description: Checks if all stages of Amazon API Gateway REST and WebSocket APIs have logging enabled. The check fails if logging is not enabled for all methods of a stage or if loggingLevel is neither ERROR nor INFO.				Source		AWS Security Hub		Security Hub control ID: APIGateway.1				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 2 How do you manage identities for people and machines?,P0 Audit and rotate credentials periodically - i.e. IAM Access Key Rotation,Secrets Manager secrets should have automatic rotation enabled,Description: Checks if a secret stored in AWS Secrets Manager is configured to rotate automatically.				Source		AWS Security Hub		Security Hub control ID: SecretsManager.1				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 2 How do you manage identities for people and machines?,P0 Audit and rotate credentials periodically - i.e. IAM Access Key Rotation,Secrets Manager secrets should be rotated within a specified number of days,Description: Checks if your secrets have rotated at least once within 90 days.				Source		AWS Security Hub		Security Hub control ID: SecretsManager.4				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 2 How do you manage identities for people and machines?,P1 Audit credentials periodically -  i.e. enables CloudTrail to track user activity and API usage,AWS CloudTrail Logging,"Description: Checks for your use of AWS CloudTrail. CloudTrail provides increased visibility into activity in your AWS account by recording information about AWS API calls made on the account. You can use these logs to determine, for example, what actions a particular user has taken during a specified time period or which users have taken actions on a particular resource during a specified time period. Because CloudTrail delivers log files to an Amazon Simple Storage Service (Amazon S3) bucket, CloudTrail must have write permissions for the bucket. If a trail applies to all regions (the default when creating a new trail), the trail appears multiple times in the Trusted Advisor report.				Alert Criteria		Yellow: CloudTrail reports log delivery errors for a trail.		Red: A trail has not been created for a region, or logging is turned off for a trail.				Recommended Action		To create a trail and start logging from the console, go to the AWS CloudTrail console. 		To start logging, see Stopping and Starting Logging for a Trail. 		If you receive log delivery errors, check to make sure that the bucket exists and that the necessary policy is attached to the bucket; see Amazon S3 Bucket Policy.				Additional Resources		AWS CloudTrail User Guide		Supported Regions		Supported Services"
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,"RDS DB Instances should prohibit public access, determined by the PubliclyAccessible configuration",Description: Checks if RDS instances are publicly accessible by evaluating the publiclyAccessible field in the instance configuration item.				Source		AWS Security Hub		Security Hub control ID: RDS.2				Alert Criteria		Red: Critical or High. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,S3 permissions granted to other AWS accounts in bucket policies should be restricted,"Description: Checks if the S3 bucket policy allows sensitive bucket-level or object-level actions from a principal in another AWS account. The check fails if any of the following actions are allowed in the S3 bucket policy for a principal in another AWS account: s3:DeleteBucketPolicy, s3:PutBucketAcl, s3:PutBucketPolicy, s3:PutObjectAcl, and s3:PutEncryptionConfiguration.				Source		AWS Security Hub		Security Hub control ID: S3.6				Alert Criteria		Red: Critical or High. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue."
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,Unused IAM user credentials should be removed,Description: Checks if your IAM users have passwords or active access keys that were not used within the previous 90 days.				Source		AWS Security Hub		Security Hub control ID: IAM.8				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,IAM root user access key should not exist,Description: Checks if the root user access key is available.				Source		AWS Security Hub		Security Hub control ID: IAM.4				Alert Criteria		Red: Critical or High. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,IAM users should not have IAM policies attached,"Description: Checks that none of your IAM users have policies attached. Instead, IAM users must inherit permissions from IAM groups or roles.				Source		AWS Security Hub		Security Hub control ID: IAM.2				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue."
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,"IAM policies should not allow full ""*"" administrative privileges","Description: Checks if the default version of AWS Identity and Access Management (IAM) policies (also known as customer managed policies) do not have administrator access with a statement that has ""Effect"": ""Allow"" with ""Action"": ""*"" over ""Resource"": ""*"". It only assesses for the Customer Managed Policies that you created, but not inline and AWS Managed Policies.				Source		AWS Security Hub		Security Hub control ID: IAM.1				Alert Criteria		Red: Critical or High. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue."
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,IAM principals should not have IAM inline policies that allow decryption actions on all KMS keys,Description: Checks if the inline policies embedded in your IAM principals (Role/User/Group) allow the AWS Key Management Service (KMS) decryption actions on all KMS keys. This check fails if kms:Decrypt or kms:ReEncryptFrom actions are allowed on all KMS keys in an inline policy.				Source		AWS Security Hub		Security Hub control ID: KMS.2				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,IAM customer managed policies should not allow decryption actions on all KMS keys,Description: Checks if the default version of IAM customer managed policies allow principals to use the AWS Key Management Service (KMS) decryption actions on all resources. This check fails if kms:Decrypt or kms:ReEncryptFrom actions are allowed on all KMS keys. The check evaluates both attached and unattached customer managed policies. It does not check inline policies or AWS managed policies.				Source		AWS Security Hub		Security Hub control ID: KMS.1				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 3 How do you manage permissions for people and machines?,P1 Manage access based on life cycle,Unused Network Access Control Lists should be removed,Description: Checks to see if there are any NACLs (Network Access Control List) that are unused. The check will check the item configuration of the resource AWS::EC2::NetworkAcl and determine the relationships of the NACL.				Source		AWS Security Hub		Security Hub control ID: EC2.16				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 3 How do you manage permissions for people and machines?,P1 Manage access based on life cycle,IAM users' access keys should be rotated every 90 days or less,Description: Checks if the active access keys are rotated within 90 days.				Source		AWS Security Hub		Security Hub control ID: IAM.3				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 3 How do you manage permissions for people and machines?,P1 Manage access based on life cycle,IAM Access Key Rotation,"Description: Checks for active IAM access keys that have not been rotated in the last 90 days.  When you rotate your access keys regularly, you reduce the chance that a compromised key could be used without your knowledge to access resources. For the purposes of this check, the last rotation date and time is when the access key was created or most recently activated. The access key number and date come from the access_key_1_last_rotated and access_key_2_last_rotated information in the most recent IAM credential report. Because the regeneration frequency of a credential report  is restricted, refreshing this check might not reflect recent changes (for details, see Getting Credential Reports for Your AWS Account).		In order to create and rotate access keys, a user must have the appropriate permissions. For more information, see Allow Users to Manage Their Own Passwords, Access Keys, and SSH Keys.				Alert Criteria		Green: The access key is active and has been rotated in the last 90 days.		Yellow: The access key is active and has been rotated in the last 2 years, but more than 90 days ago.		Red: The access key is active and has not been rotated in the last 2 years.				Recommended Action		Rotate access keys on a regular basis. See Rotating Access Keys and Managing Access Keys for IAM Users.				Additional Resources		IAM Best Practices		How to rotate access keys for IAM users (AWS blog)"
Security,SEC 3 How do you manage permissions for people and machines?,P1 Analyze public and cross account access,RDS snapshot should be private,Description: Checks if Amazon Relational Database Service (Amazon RDS) snapshots are public.				Source		AWS Security Hub		Security Hub control ID: RDS.1				Alert Criteria		Red: Critical or High. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 3 How do you manage permissions for people and machines?,P1 Analyze public and cross account access,S3 buckets should prohibit public write access,"Description: Checks if your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access check list (ACL).				Source		AWS Security Hub		Security Hub control ID: S3.3				Alert Criteria		Red: Critical or High. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue."
Security,SEC 3 How do you manage permissions for people and machines?,P1 Analyze public and cross account access,S3 Block Public Access setting should be enabled,"Description: Checks if the following public access block settings are configured from account level: ignorePublicAcls: True, blockPublicPolicy: True, blockPublicAcls: True, restrictPublicBuckets: True.				Source		AWS Security Hub		Security Hub control ID: S3.1				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue."
Security,SEC 3 How do you manage permissions for people and machines?,P1 Analyze public and cross account access,Amazon S3 Bucket Permissions,"Description: Checks buckets in Amazon Simple Storage Service (Amazon S3) that have open access permissions or allow access to any authenticated AWS user. Bucket permissions that grant List access can result in higher than expected charges if objects in the bucket are listed by unintended users at a high frequency. Bucket permissions that grant Upload/Delete access create potential security vulnerabilities by allowing users that to add, modify, or remove items in a bucket.				Alert Criteria		Yellow: The bucket ACL allows List access for ""Everyone"" or ""Any Authenticated AWS User"".		Yellow: A bucket policy allows any kind of open access.		Yellow: Bucket policy has statements that grant public access. The “Block public and cross-account access to buckets that have public policies” setting is turned on and has restricted access to only authorized users of that account until public statements are removed.		Yellow: Trusted Advisor does not have permission to check the policy, or the policy could not be evaluated for other reasons.		Red: The bucket ACL allows Upload/Delete access for ""Everyone"" or ""Any Authenticated AWS User"".		Green: All S3 buckets are compliant based on the ACL and/or bucket policy.				Recommended Action		If a bucket allows open access, determine if open access is truly needed. For example to host a static website, you can use Amazon CloudFront to serve the content hosted on Amazon S3. See Restricting access to an Amazon S3 origin in the CloudFront Developer Guide. When possible, update the bucket permissions to restrict access to the owner or specific users. Use Amazon S3 Block Public Access to control the settings that allow public access to your data. See Setting Bucket and Object Access Permissions.				Additional Resources		Managing Access Permissions to Your Amazon S3 Resources		Configuring block public access settings for your S3 buckets"
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,CloudFront distributions should have logging enabled,Description: Checks to see if server access logging is enabled on Amazon CloudFront Distributions. The check will fail if access logging is not enabled for the distribution.				Source		AWS Security Hub		Security Hub control ID: CloudFront.5				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,Amazon Elasticsearch Service domains should have audit logging enabled,Description: This check checks whether Amazon Elasticsearch Service domains have audit logging enabled. This check fails if an Amazon Elasticsearch Service domain does not have audit logging enabled.				Source		AWS Security Hub		Security Hub control ID: ES.5				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,Database logging should be enabled,"Description: Checks if the following Amazon RDS logs are enabled and sent to CloudWatch Logs: Oracle: (Alert, Audit, Trace, Listener), PostgreSQL: (Postgresql, Upgrade), MySQL: (Audit, Error, General, SlowQuery), MariaDB: (Audit, Error, General, SlowQuery), SQL Server: (Error, Agent), Aurora: (Audit, Error, General, SlowQuery), Aurora-MySQL: (Audit, Error, General, SlowQuery), Aurora-PostgreSQL: (Postgresql).				Source		AWS Security Hub		Security Hub control ID: RDS.9				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue."
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,Enhanced monitoring should be configured for RDS DB instances,Description: Checks if enhanced monitoring is enabled for your RDS DB instances.				Source		AWS Security Hub		Security Hub control ID: RDS.6				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,AWS WAF Classic Global Web ACL logging should be enabled,Description: Checks if logging is enabled for a WAF global Web ACL. This check fails if logging is not enabled for the Web ACL.				Source		AWS Security Hub		Security Hub control ID: WAF.1				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,Application and Classic Load Balancers logging should be enabled,Description: Checks if the Application Load Balancer and the Classic Load Balancer have logging enabled. The check fails if the access_logs.s3.enabled is false.				Source		AWS Security Hub		Security Hub control ID: ELB.5				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,Amazon Elasticsearch Service domain error logging to CloudWatch Logs should be enabled,Description: Checks whether Amazon Elasticsearch Service domains are configured to send error logs to CloudWatch Logs.				Source		AWS Security Hub		Security Hub control ID: ES.4				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,An RDS event notifications subscription should be configured for critical cluster events,"Description: Checks if an Amazon RDS Event subscription for RDS clusters is configured to notify on event categories of both ""maintenance"" and ""failure"".				Source		AWS Security Hub		Security Hub control ID: RDS.19				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue."
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,An RDS event notifications subscription should be configured for critical database security group events,"Description: Checks if an Amazon RDS Event subscription for RDS security groups is configured to notify on event categories of both ""configuration change"" and ""failure"".				Source		AWS Security Hub		Security Hub control ID: RDS.22				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue."
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,An RDS event notifications subscription should be configured for critical database instance events,"Description: Checks if an Amazon RDS Event subscription for RDS instances is configured to notify on event categories of both ""maintenance"", ""configuration change"", and ""failure"".				Source		AWS Security Hub		Security Hub control ID: RDS.20				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue."
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,An RDS event notifications subscription should be configured for critical database parameter group events,"Description: Checks if an Amazon RDS Event subscription for RDS parameter groups is configured to notify on event category of ""configuration change"".				Source		AWS Security Hub		Security Hub control ID: RDS.21				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue."
