ta_check,description
EBS Magnetic (standard) Volume Storage,"Description: Checks for usage that is more than 80% of the EBS Magnetic (standard) Volume Storage Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
EBS Limits"
AWS Site-to-Site VPN has at least one Tunnel in DOWN Status,"Description: Checks the number of tunnels that are active for each of your AWS Site-to-Site VPNs.

A VPN should have two tunnels configured at all times. This provides redundancy in case of outage or planned maintenance of the devices at the AWS endpoint. For some hardware, only one tunnel is active at a time. If a VPN has no active tunnels, charges for the VPN might still apply. 

For more information, see  What is AWS Site-to-Site VPN?

Source
AWS Config Managed Rule: vpc-vpn-2-tunnels-up

Alert Criteria
Yellow: A Site-to-Site VPN has at least one tunnel DOWN.

Recommended Action
Make sure that two tunnels are configured for VPN connections. And, if your hardware supports it, then make sure that both tunnels are active. If you no longer need a VPN connection, then delete it to avoid charges.

For more information, see Your customer gateway device and the content available on the AWS Knowledge Center.

Additional Resources
AWS Site-to-Site VPN User Guide
Adding a Virtual Private Gateway to Your VPC"
Amazon SNS Topics Not Logging Message Delivery Status,"Description: Checks if Amazon Simple Notification Service (SNS) topics have message delivery status logging turned on.

Configure SNS topics for logging message delivery status to help provide better operational insights. For example, message delivery logging verifies if a message was delivered to a particular Amazon SNS endpoint. And,  it also helps identify the response sent from the endpoint.

For more information, see Amazon SNS message delivery status.

Source
AWS Config Managed Rule: sns-topic-message-delivery-notification-enabled

Alert Criteria
Yellow: Message delivery status logging is not turned on for a SNS topic.

Recommended Action
Turn on message delivery status logging for your SNS topics. For more information, see Configuring delivery status logging using the AWS Management Console.
<br"
IAM Group,"Description: Checks for usage that is more than 80% of the IAM Group Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
IAM Limits"
Amazon ECR Repository Without Lifecycle Policy Configured,"Description: Checks if a private Amazon ECR repository has at least one lifecycle policy configured.

Lifecycle policies allow you to define a set of rules to automatically clean up old or unused container images. This gives you control over the lifecycle management of the images, allows ECR repositories to be better organized, and helps to lower overall storage costs.

For more information, see Lifecycle policies.

Source
AWS Config Managed Rule: ecr-private-lifecycle-policy-configured

Alert Criteria
Yellow: An Amazon ECR private repository doesn’t have any lifecycle policies configured.

Recommended Action
Consider creating at least one lifecycle policy for your private Amazon ECR repository.

Additional Resources
Amazon ECR Lifecycle policies
Creating a lifecycle policy
Examples of lifecycle policies"
Amazon ECR Repository With Tag Immutability Disabled,"Description: Checks if a private Amazon ECR repository has image tag immutability turned on.

Turn on image tag immutability for a private ECR repository to prevent image tags from being overwritten. This allows you to rely on descriptive tags as a reliable mechanism to track and uniquely identify images.For example, if image tag immutability is turned on, users can reliably use an image tag to correlate a deployed image version with the build that produced such image.

For more information, see Image tag mutability.

Source
AWS Config Managed Rule: ecr-private-tag-immutability-enabled

Alert Criteria
Yellow: An Amazon ECR private repository doesn’t have tag immutability turned on..

Recommended Action
Turn on image tag immutability for your Amazon ECR private repositories. For more information, see  Image tag mutability.
"
Amazon API Gateway REST APIs Without X-Ray Tracing Enabled,"Description: Checks if Amazon API Gateway REST APIs have AWS X-Ray tracing turned on.

Turn on X-Ray tracing for your REST APIs to allow API Gateway to sample API invocation requests with trace information. This allows you to take advantage of AWS X-Ray to trace and analyze requests as they travel through your API Gateway REST APIs to the downstream services.

For more information, see Tracing user requests to REST APIs using X-Ray.

Source
AWS Config Managed Rule: api-gw-xray-enabled

Alert Criteria
Yellow: X-Ray tracing is not turned on for an API Gateway REST API.

Recommended Action
Turn on X-Ray tracing for your API Gateway REST APIs. For more information, see  Setting up AWS X-Ray with API Gateway REST APIs.

Additional Resources
Tracing user requests to REST APIs using X-Ray
What is AWS X-Ray?"
AWS Account Not Part of AWS Organizations,"Description: Checks if an AWS account is part of AWS Organizations under the appropriate management account.

AWS Organizations is an account management service for consolidating multiple AWS accounts into a centrally-managed organization. This enables you to centrally structure accounts for billing consolidation and implement ownership and security policies as your workloads scale on AWS. You can specify the management account id, using the ""MasterAccountId"" parameters of the AWS Config rules.

For more information, see What is AWS Organizations?

Source
AWS Config Managed Rule: account-part-of-organizations

Alert Criteria
Yellow: This AWS account is not part of AWS Organizations under the appropriate management account.

Recommended Action
Add this AWS account as part of AWS Organizations under the appropriate management account.

For more information, see Tutorial: Creating and configuring an organization.

Additional Resources
What is AWS Organizations?
Creating and configuring an organization"
Amazon VPC Peering Connections With DNS Resolution Disabled,"Description: Checks if your VPC peering connections have DNS resolution turned on for both the acceptor and requester VPCs.

DNS resolution for a VPC peering connection allows the resolution of public DNS hostnames to private IPv4 addresses when queried from your VPC. This allows the use of DNS names for communication between resources in peered VPCs. DNS resolution in your VPC peering connections makes application development and management simpler and less error-prone, and it ensures that resources always communicate privately over the VPC peering connection.

You can specify the vpcIds, using  the “vpcIds"" parameters in your AWS Config rules.

For more information, see Enable DNS resolution for a VPC peering connection.

Source
AWS Config Managed Rule: vpc-peering-dns-resolution-check

Alert Criteria
Yellow: DNS resolution is not enabled for both the acceptor and the requestor VPCs in a VPC peering connection.

Recommended Action
Turn on DNS resolution for your VPC peering connections.

Additional Resources
Enabling DNS resolution for VPC peering connections
DNS attributes in Amazon VPC"
Amazon API Gateway Not Logging Execution Logs,"Description: Checks if Amazon API Gateway has Amazon CloudWatch Logs turned on.

Turn on CloudWatch logging for REST API methods or WebSocket API routes in Amazon API Gateway  to collect execution logs in CloudWatch Logs for requests received by your APIs. The information contained in the execution logs  helps identify and troubleshoot issues related to your API.
You can specify the logging level, using the ""loggingLevel"" parameters in your AWS Config rules.

Refer to the REST API or WebSocket API documentation for more information about CloudWatch logging in Amazon API Gateway.

Source
AWS Config Managed Rule: api-gw-execution-logging-enabled

Alert Criteria
Yellow: CloudWatch logging for execution logs is not turned on for an Amazon API Gateway.

Recommended Action
Turn on CloudWatch logging for execution logs for your Amazon API Gateway REST APIs or WebSocket APIs.
To enable CloudWatch logging refer to the Amazon API Gateway documentation for REST APIs or WebSocket APIs.

Additional Resources
Setting up CloudWatch logging for a REST API
Configuring logging for a WebSocket API"
Amazon EBS under-provisioned volumes,"Description: Checks the Amazon Elastic Block Storage (Amazon EBS) volumes that were running at any time during the lookback period. This check alerts you if any EBS volumes were under-provisioned for your workloads. Consistent high utilization can indicate optimized, steady performance, but can also indicate that an application does not have enough resources.

Source
AWS Compute Optimizer

Alert Criteria
Yellow: An EBS Volume that was under-provisioned during the lookback period. To determine if a volume is under-provisioned, we consider all default CloudWatch metrics (including IOPS and throughput). The algorithm used to identify under-provisioned EBS volumes follows AWS best practices. The algorithm is updated when a new pattern has been identified.

Recommended Action
Consider upsizing volumes that have high utilization.

Additional Resources
For more information about this recommendation, see the Trusted Advisor documentation."
Amazon EBS over-provisioned volumes,"Description: Checks the Amazon Elastic Block Storage (Amazon EBS) volumes that were running at any time during the lookback period. This check alerts you if any EBS volumes were over-provisioned for your workloads. When you have over-provisioned volumes, you’re paying for unused resources. Although some scenarios can result in low optimization by design, you can often lower your costs by changing the configuration of your EBS volumes. Estimated monthly savings are calculated by using the current usage rate for EBS volumes. Actual savings will vary if the volume isn’t present for a full month.

Source
AWS Compute Optimizer

Alert Criteria
Yellow: An EBS Volume that was over-provisioned during the lookback period. To determine if a volume is over-provisioned, we consider all default CloudWatch metrics (including IOPS and throughput). The algorithm used to identify over-provisioned EBS volumes follows AWS best practices. The algorithm is updated when a new pattern has been identified.

Recommended Action
Consider downsizing volumes that have low utilization.

Additional Resources
For more information about this recommendation, see the Trusted Advisor documentation.."
RDS Cluster Parameter Groups,"Description: Checks for usage that is more than 80% of the RDS Cluster Parameter Groups Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
RDS Limits"
AWS Lambda under-provisioned functions for memory size,"Description: Checks the AWS Lambda functions that were invoked at least once during the lookback period. This check alerts you if any of your Lambda functions were under-provisioned for memory size. When you have Lambda functions that are under-provisioned for memory size, these functions take longer time to complete.

Source
AWS Compute Optimizer

Alert Criteria
Yellow: A Lambda function that was under-provisioned for memory size during the lookback period. To determine if a Lambda function is under-provisioned, we consider all default CloudWatch metrics for that function. The algorithm used to identify under-provisioned Lambda functions for memory size follows AWS best practices. The algorithm is updated when a new pattern has been identified.

Recommended Action
Consider increasing the memory size of your Lambda functions.

Additional Resources
For more information about this recommendation, see the Trusted Advisor documentation."
AWS Lambda over-provisioned functions for memory size,"Description: Checks the AWS Lambda functions that were invoked at least once during the lookback period. This check alerts you if any of your Lambda functions were over-provisioned for memory size. When you have Lambda functions that are over-provisioned for memory sizes, you’re paying for unused resources. Although some scenarios can result in low utilization by design, you can often lower your costs by changing the memory configuration of your Lambda functions. Estimated monthly savings are calculated by using the current usage rate for Lambda functions.

Source
AWS Compute Optimizer

Alert Criteria
Yellow: A Lambda function that was over-provisioned for memory size during the lookback period. To determine if a Lambda function is over-provisioned, we consider all default CloudWatch metrics for that function. The algorithm used to identify over-provisioned Lambda functions for memory size follows AWS best practices. The algorithm is updated when a new pattern has been identified.

Recommended Action
Consider reducing the memory size of your Lambda functions.

Additional Resources
For more information about this recommendation, see the Trusted Advisor documentation page."
Amazon RDS Multi-AZ,"Description: Checks for DB instances that are deployed in a single Availability Zone. Multi-AZ deployments enhance database availability by synchronously replicating to a standby instance in a different Availability Zone. During planned database maintenance or the failure of a DB instance or Availability Zone, Amazon RDS automatically fails over to the standby so that database operations can resume quickly without administrative intervention. Because Multi-AZ deployments for the SQL Server engine use a different mechanism for synchronization, this check does not examine SQL Server instances.

Alert Criteria
Yellow: A DB instance is deployed in a single Availability Zone.

Recommended Action
If your application requires high availability, modify your DB instance to enable Multi-AZ deployment. See High Availability (Multi-AZ).

Additional Resources
Regions and Availability Zones"
RDS Subnets per Subnet Group,"Description: Checks for usage that is more than 80% of the RDS Subnets per Subnet Group Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
RDS Limits"
ELB Listener Security,"Description: Checks for load balancers with listeners that do not use recommended security configurations for encrypted communication. AWS recommends using a secure protocol (HTTPS or SSL), up-to-date security policies, and ciphers and protocols that are secure.
When you use a secure protocol for a front-end connection (client to load balancer), the requests are encrypted between your clients and the load balancer, which is more secure.
Elastic Load Balancing provides predefined security policies  with ciphers and protocols that adhere to AWS security best practices. New versions of predefined policies are released as new configurations become available. 

Alert Criteria
Yellow: A load balancer has no listener that uses a secure protocol (HTTPS or SSL). 
Yellow: A load balancer listener uses an outdated predefined SSL security policy. 
Yellow: A load balancer listener uses a cipher or protocol that is not recommended. 
Red: A load balancer listener uses an insecure cipher or protocol.

Recommended ActionIf the traffic to your load balancer must be secure, use either the HTTPS or the SSL protocol for the front-end connection.Upgrade your load balancer to the latest version of the predefined SSL security policy. Use only the recommended ciphers and protocols. For more information, see Listener Configurations for Elastic Load Balancing.

Additional Resources
Listener Configurations Quick Reference
Update SSL Negotiation Configuration of Your Load Balancer
SSL Negotiation Configurations for Elastic Load Balancing
SSL Security Policy Table
"
AWS CloudFormation Stack Notification,"Description: Checks if all of your AWS CloudFormation stacks use Amazon SNS to receive notifications when an event occurs. 
You can configure this check to look for specific SNS Topic ARN using parameters in your AWS Config rules.
For more information, see Setting AWS CloudFormation stack options for more information about AWS CloudFormation Stack Notification.

Source
AWS Config Managed Rule: cloudformation-stack-notification-check

Alert Criteria
Yellow: SNS event notifications for your AWS CloudFormation stacks are not turned on.

Recommended Action
Make sure that your AWS CloudFormation stacks use Amazon SNS to receive notifications when an event occurs. Monitoring stack events  helps you to respond quickly to unauthorized actions that might alter your AWS environment.

Additional Resources
How can I receive an email alert when my AWS CloudFormation stack enters ROLLBACK_IN_PROGRESS status?"
Amazon EBS Public Snapshots,"Description: Checks the permission settings for your Amazon Elastic Block Store (Amazon EBS) volume snapshots and alerts you if any snapshots are publicly accessible. When you make a snapshot public, you give all AWS accounts and users access to all the data on the snapshot. If you want to share a snapshot with particular users or accounts, mark the snapshot as private, and then specify the user or accounts you want to share the snapshot data with. Please note that if you have Block Public Access enabled in ‘block all sharing’ mode, your public snapshots will not be publicly accessible and will not show up in the results of this check. Note: Results for this check are automatically refreshed several times daily, and refresh requests are not allowed. It might take a few hours for changes to appear.

Alert Criteria
Red: The EBS volume snapshot is publicly accessible.

Recommended Action
Unless you are certain you want to share all the data in the snapshot with all AWS accounts and users, modify the permissions: mark the snapshot as private, and then specify the accounts that you want to give permissions to. For more information, see Sharing an Amazon EBS Snapshot. Use Block Public Access for EBS Snapshots to control the settings that allow public access to your data. Note: For temporary technical reasons, items in this check cannot be excluded from view in the Trusted Advisor console.To modify permissions for your snapshots directly, you can use a runbook in the AWS Systems Manager console. For more information, see AWSSupport-ModifyEBSSnapshotPermission.

 Additional Resources
Amazon EBS Snapshots"
Amazon CloudFront Origin Failover,"Description: Checks that an origin group is configured for distributions that include two origins in Amazon CloudFront. For more information, see  Optimizing high availability with CloudFront origin failover.

Source
AWS Config Managed Rule: cloudfront-origin-failover-enabled

Alert Criteria
Yellow: Amazon CloudFront Origin Failover is not enabled

Recommended Action
Make sure that you turn on the origin failover feature for your CloudFront distributions to ensure high availability of your content deilivery to end users. When you turn on this feature, traffic is automatically routed to the backup origin server if the primary origin server is unavailable. This minimizes potential downtime and ensures continuous availability of your content.
"
Amazon S3 Bucket Versioning,"Description: Checks for Amazon Simple Storage Service buckets that do not have versioning enabled, or have versioning suspended. When versioning is enabled, you can easily recover from both unintended user actions and application failures. Versioning allows you to preserve, retrieve, and restore any version of any object stored in a bucket. You can use lifecycle rules to manage all versions of your objects as well as their associated costs by automatically archiving objects to the Glacier storage class or removing them after a specified time period. You can also choose to require multi-factor authentication (MFA) for any object deletions or configuration changes to your buckets. 

Versioning cannot be disabled after it has been enabled, but it can be suspended, which prevents new versions of objects from being created. Using versioning can increase your costs for Amazon S3, because you pay for storage of multiple versions of an object.

Alert Criteria
Green: Versioning is enabled for the bucket.
Yellow: Versioning is not enabled for the bucket.
Yellow: Versioning is suspended for the bucket.

Recommended Action
Enable bucket versioning on most buckets to prevent accidental deletion or overwriting. See Using Versioning and Enabling Versioning Programmatically. 

If bucket versioning is suspended, consider reenabling versioning. For information on working with objects in a versioning-suspended bucket, see Managing Objects in a Versioning-Suspended Bucket.

When versioning is enabled or suspended, you can define lifecycle configuration rules to mark certain object versions as expired or to permanently remove unneeded object versions. For more information, see Object Lifecycle Management. 

MFA Delete requires additional authentication when the versioning status of the bucket is changed or when versions of an object are deleted. It requires the user to enter credentials and a code from an approved authentication device. For more information, see MFA Delete.

Additional Resources
Working with Buckets"
Amazon CloudFront Access Log Configured,"Description: Checks if Amazon CloudFront distributions are configured to capture information from Amazon S3server access logs. S3 server access logs contain detailed information about every user request that CloudFront receives.
You can adjust the the name of the Amazon S3 bucket for storing server access logs, using the ""S3BucketName"" parameter in your AWS Config rules.
For more information, see Configuring and using standard logs (access logs) for more information about Amazon CloudFront Logging

Source
AWS Config Managed Rule: cloudfront-accesslogs-enabled

Alert Criteria
Yellow: Amazon CloudFront Access Logging is not enabled

Recommended Action
Make sure that you turn on Amazon CloudFront access logging to capture detailed information about every user request that CloudFront receives.
You can turn on standard logs when you create or update a distribution. For more information, see Values that you specify when you create or update a distribution.

Additional Resources
Values that you specify when you create or update a distribution
CloudFront Access Log"
AWS Well-Architected high risk issues for performance efficiency,"Description: Checks for high risk issues (HRIs) for your workloads in the performance pillar. This check is based on your AWS-Well Architected reviews. Your check results depend on whether you completed the workload evaluation with AWS Well-Architected.

Alert Criteria
Red: At least one active high risk issue was identified in the performance pillar for AWS Well-Architected.
Green: No active high risk issues were detected in the performance pillar for AWS Well-Architected.

Recommended Action
AWS Well-Architected detected high risk issues during your workload evaluation. These issues present opportunities to reduce risk and save money. Sign in to the AWS Well-Architected tool to review your answers and take action to resolve your active issues."
Amazon S3 Bucket Replication Not Enabled,"Description: Checks if your Amazon S3 buckets have replication rules enabled for Cross-Region Replication, Same-Region Replication, or both.

Replication is the automatic, asynchronous copying of objects across buckets in the same or different AWS Regions. Replication copies newly created objects and object updates from a source bucket to a destination bucket or buckets. 

Using S3 bucket replication can help improve the resilience, and compliance of your applications and data storage.
You can specify your desired replication type in the ""ReplicationType"" parameters of your AWS Config rules.

For more information, see Replicating objects.

Source
AWS Config Managed Rule: s3-bucket-replication-enabled

Alert Criteria
Yellow: Amazon S3 Bucket Replication Rules are not enabled for Cross-Region Replication, Same-Region Replication, or both

Recommended Action
Turn on Amazon S3 bucket replication rules to improve the resiliency and compliance of your applications and data storage.

Additional Resources
Examples for configuring replication"
AWS Well-Architected high risk issues for security,"Description: Checks for high risk issues (HRIs) for your workloads in the security pillar. This check is based on your AWS-Well Architected reviews. Your check results depend on whether you completed the workload evaluation with AWS Well-Architected.

Alert Criteria
Red: At least one active high risk issue was identified in the security pillar for AWS Well-Architected.
Green: No active high risk issues were detected in the security pillar for AWS Well-Architected.

Recommended Action
AWS Well-Architected detected high risk issues during your workload evaluation. These issues present opportunities to reduce risk and save money. Sign in to the AWS Well-Architected tool to review your answers and take action to resolve your active issues."
AWS Well-Architected high risk issues for reliability,"Description: Checks for high risk issues (HRIs) for your workloads in the Reliability pillar. This check is based on your AWS-Well Architected reviews. Your check results depend on whether you completed the workload evaluation with AWS Well-Architected.

Alert Criteria
Red: At least one active high risk issue was identified in the reliability pillar for AWS Well-Architected.
Green: No active high risk issues were detected in the reliability pillar for AWS Well-Architected.

Recommended Action
AWS Well-Architected detected high risk issues during your workload evaluation. These issues present opportunities to reduce risk and save money. Sign in to the AWS Well-Architected tool to review your answers and take action to resolve your active issues."
Amazon EFS not in AWS Backup Plan,"Description: Checks if Amazon EFS file systems are included in backup plans with AWS Backup. AWS Backup is a unified backup service designed to simplify the creation, migration, restoration, and deletion of backups, while providing improved reporting and auditing. For more information, see Backing up your Amazon EFS file systems.

Source
AWS Config Managed Rule: efs-in-backup-plan

Alert Criteria
Red: Amazon EFS are not included in AWS Backup plan.

Recommended Action
Make sure that your EFS file systems are included in your AWS Backup plan to protect against accidental data loss or data corruption.

Additional Resources
What is Amazon Elastic File System
Amazon EFS Backup & Restore using AWS Backup"
AWS CodeDeploy Lambda is using all at-once deployment configuration,"Description: Checks if the AWS CodeDeploy deployment group for AWS Lambda compute platform is using all-at-once deployment configuration.

To reduce the risk of deployment failures of your Lambda functions in CodeDeploy, it's a best practice to use the canary or linear deployment configuration instead of the default option where all traffic is shifted from the original Lambda function to the updated function at once.

For more information, see Lambda function versions and Deployment configuration 

Source
AWS Config Managed Rule: codedeploy-lambda-allatonce-traffic-shift-disabled

Alert Criteria
Yellow: AWS CodeDeploy Lambda deployment uses the all-at-once deployment configuration to shift all traffic to the updated Lambda functions at once.

Recommended Action
Use the Canary or Linear deployment configuration of CodeDeploy deployment group for the Lambda compute platform.

Additional Resources
Deployment configuration"
AWS CodeBuild Project Logging,"Description: Checks If the AWS CodeBuild project environment uses logging. Logging options can be logs in Amazon CloudWatch Logs, or built in a specified S3 bucket, or both. Enabling logging in a CodeBuild project can provide several benefits such as debugging and auditing.
You can specify the the name of the Amazon S3 bucket or CloudWatch Log Group for storing the logs, using the “s3BucketNames"" or ""cloudWatchGroupNames"" parameter in your AWS Config rules.
For more information, see Monitoring AWS CodeBuild.

Source
AWS Config Managed Rule: codebuild-project-logging-enabled

Alert Criteria
Yellow: AWS Code Build Project Logging is not enabled

Recommended Action
Make sure that logging is turned on in your AWS CodeBuild project.

For more information, see Logging and monitoring in AWS CodeBuild.
"
